image_path,label,class_name
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002918_002368.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001350_001951.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/001731_003267.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001408_002461.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001187_000049.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/003006_002848.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/000576_002702.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001868_001070.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/003029_002101.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/000439_000157.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/002750_003230.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/000820_000168.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001938_000376.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002319_003184.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000665_001468.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002699_001680.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/000582_000859.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/003263_000034.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/000384_000612.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/001491_000306.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/003229_003112.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/002249_003249.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001306_002245.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/tampered/002818_003116.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001613_000898.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/tampered/003253_000702.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/001963_000250.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/001576_001448.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/003256_002613.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/tampered/002180_001201.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/000321_000109.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/002678_000828.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001291_002739.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001615_001559.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/tampered/001661_000973.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000003_001957.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002255_001645.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/000251_001553.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000639_001018.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/003296_000975.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002213_000341.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/000035_003162.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/001695_002225.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/001513_002864.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/002650_002923.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/000039_001612.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001485_002342.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000131_000174.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/001760_002424.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/002304_000419.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000389_000179.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/tampered/001617_002978.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001659_002991.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/tampered/001460_000607.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/003032_000403.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/001271_000941.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/003039_000452.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/002988_002085.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/002545_002482.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/002592_000517.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/001188_002233.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/001299_002318.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002743_000264.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/000107_001766.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/001315_001310.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/001520_003258.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/002753_002775.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/003086_002931.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002897_001715.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/002876_003036.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001989_002121.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/000799_001644.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000236_001714.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/002894_002491.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/002927_000920.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/001511_003034.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/000971_002868.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/000020_000756.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/001908_002069.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/002020_000136.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/002387_000723.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/000952_003227.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002025_002952.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000523_002330.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002527_000068.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/003145_001354.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/003305_002300.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/003006_003183.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/002334_000131.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/001103_000626.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/000771_002181.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/001275_003216.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/002571_002081.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/001056_001292.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/003154_002604.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000453_001323.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/tampered/002522_000042.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/001158_001446.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/000872_000844.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/000564_000598.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/000764_001398.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001685_001056.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001569_000888.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/tampered/001426_001532.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/000176_001422.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/002165_000909.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/001862_003214.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/001183_000856.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/tampered/002456_002972.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/002340_001851.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/002193_002161.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/tampered/000076_002959.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000669_000679.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/real/001123_001173.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/tampered/002042_000465.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000715_002426.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/tampered/000973_000767.jpg,2,Tampered
/content/drive/MyDrive/skripsi/dataset_image/real/000765_002619.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/real/002344_001372.jpg,0,Real
/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000737_000695.jpg,1,Full-Synthetic
/content/drive/MyDrive/skripsi/dataset_image/tampered/000549_000288.jpg,2,Tampered
